Month,CPI_SA,Core_SA,Services_SA,PPI_SA,CoreGoods_SA,PPI_Mfg_SA,USDTRY,EURTRY
2008-04-01,151.79613,150.0958022,171.4924602,159.0026453,118.4615772,159.12,1.299842857142857,2.049054761904762
2008-05-01,153.9746457,152.3085524,173.1699673,162.3702962,119.5246327,162.1,1.250002380952381,1.9449952380952382
2008-06-01,154.7691694,154.1652598,174.5540459,162.8952535,119.7590547,164.42,1.2307619047619047,1.9126166666666666
2008-07-01,156.5463471,155.814879,176.0117521,164.9257489,119.2535593,166.13,1.2128695652173913,1.9143021739130435
2008-08-01,157.0591226,156.5740639,177.5675385,161.0727601,119.5004641,160.92,1.175497619047619,1.7653500000000002
2008-09-01,157.5194957,157.2177556,178.9583855,159.6266512,119.8660168,159.62,1.2326071428571428,1.7735452380952381
2008-10-01,159.3832998,158.3275637,179.8728178,160.5378979,119.9489886,159.54,1.4768150000000002,1.96740250
2008-11-01,160.0471663,158.861021,181.0881926,160.4883736,120.270219,158.65,1.5916774999999999,2.02631000
2008-12-01,160.1723095,158.7769469,182.0466669,154.8029866,120.3653789,152.6,1.5425184210526317,2.0915421052631578
2009-01-01,160.1855513,158.9526631,182.8277681,155.1595614,121.0232484,152.55,1.592890476190476,2.1200047619047617
2009-02-01,159.8301348,159.0712325,183.4244966,156.9721499,121.3553812,153.06,1.6563474999999999,2.1207200000000004
2009-03-01,161.3297064,158.6580449,184.0600309,157.4277733,120.2975683,153.37,1.70865000,2.224065909090909
2009-04-01,161.0749598,158.119702,184.9603939,158.4479734,119.4128761,154.1,1.6080238095238095,2.1220785714285713
2009-05-01,162.2327724,158.2744161,185.61643,158.3687345,119.6150735,153.99,1.555507894736842,2.1166763157894737
2009-06-01,163.8302935,159.1540327,186.4798628,159.8643677,120.0401113,156.28,1.5434999999999999,2.1635886363636363
2009-07-01,165.1963787,160.0261101,187.2874948,158.7352142,121.2283072,155.69,1.517341304347826,2.136863043478261
2009-08-01,165.5202863,160.8650235,188.1330195,159.3988395,121.6241885,157.1,1.4827880952380952,2.1135166666666665
2009-09-01,165.8939251,161.735362,189.1008209,160.3794202,121.8366443,158.12,1.4888124999999999,2.1627850000000004
